index,position_x,position_y,position_z,cablelength(M),BulbCables,BulbZ,lineID,bulbonline,Universe
0,4.690,-21.176,9.323,2.909,2.909,-9.323,0,0,2
1,4.625,-20.873,9.195,2.375,2.375,-9.195,0,1,2
2,4.561,-20.570,9.067,1.827,1.827,-9.067,0,2,2
3,4.496,-20.267,8.944,1.338,1.338,-8.944,0,3,2
4,4.432,-19.963,8.824,1.096,1.096,-8.824,0,4,2
5,4.368,-19.660,8.704,1.022,1.022,-8.704,0,5,2
6,4.303,-19.357,8.590,1.087,1.087,-8.590,0,6,2
7,4.239,-19.054,8.486,1.277,1.277,-8.486,0,7,2
8,4.174,-18.751,8.381,1.644,1.644,-8.381,0,8,2
9,4.110,-18.447,8.284,1.960,1.960,-8.284,0,9,2
10,4.045,-18.144,8.205,2.160,2.160,-8.205,0,10,2
11,3.981,-17.841,8.124,2.074,2.074,-8.124,0,11,2
12,3.916,-17.538,8.049,1.843,1.843,-8.049,0,12,2
13,3.852,-17.234,8.003,1.560,1.560,-8.003,0,13,2
14,3.787,-16.931,7.958,1.305,1.305,-7.958,0,14,2
15,3.723,-16.628,7.912,1.156,1.156,-7.912,0,15,2
16,3.659,-16.325,7.905,1.073,1.073,-7.905,0,16,1
17,3.594,-16.022,7.905,0.879,0.879,-7.905,0,17,1
18,3.530,-15.718,7.904,0.647,0.647,-7.904,0,18,1
19,3.465,-15.415,7.928,0.461,0.461,-7.928,0,19,1
20,3.401,-15.112,7.972,0.334,0.334,-7.972,0,20,1
21,3.336,-14.809,8.017,0.295,0.295,-8.017,0,21,1
22,3.272,-14.505,8.072,0.322,0.322,-8.072,0,22,1
23,3.207,-14.202,8.151,0.425,0.425,-8.151,0,23,1
24,3.143,-13.899,8.231,0.578,0.578,-8.231,0,24,1
25,3.079,-13.596,8.314,0.775,0.775,-8.314,0,25,1
26,3.014,-13.292,8.420,1.041,1.041,-8.420,0,26,1
27,2.950,-12.989,8.526,1.344,1.344,-8.526,0,27,1
28,2.885,-12.686,8.632,1.676,1.676,-8.632,0,28,1
29,2.821,-12.383,8.754,2.046,2.046,-8.754,0,29,1
30,2.756,-12.080,8.877,2.405,2.405,-8.877,0,30,1
31,2.692,-11.776,9.000,2.745,2.745,-9.000,0,31,1
32,2.627,-11.473,9.129,3.074,3.074,-9.129,0,32,1
33,2.563,-11.170,9.260,3.371,3.371,-9.260,0,33,1
34,5.112,-20.998,9.260,2.686,2.686,-9.260,1,0,2
35,5.048,-20.695,9.133,2.222,2.222,-9.133,1,1,2
36,4.983,-20.392,9.005,1.799,1.799,-9.005,1,2,2
37,4.919,-20.089,8.887,1.440,1.440,-8.887,1,3,2
38,4.854,-19.785,8.766,1.316,1.316,-8.766,1,4,2
39,4.790,-19.482,8.646,1.412,1.412,-8.646,1,5,2
40,4.725,-19.179,8.541,1.573,1.573,-8.541,1,6,2
41,4.661,-18.876,8.437,1.798,1.798,-8.437,1,7,2
42,4.596,-18.573,8.333,2.131,2.131,-8.333,1,8,2
43,4.532,-18.269,8.248,2.302,2.302,-8.248,1,9,2
44,4.468,-17.966,8.168,2.276,2.276,-8.168,1,10,2
45,4.403,-17.663,8.089,2.115,2.115,-8.089,1,11,2
46,4.339,-17.360,8.029,1.865,1.865,-8.029,1,12,2
47,4.274,-17.056,7.984,1.536,1.536,-7.984,1,13,2
48,4.210,-16.753,7.938,1.301,1.301,-7.938,1,14,2
49,4.145,-16.450,7.906,1.162,1.162,-7.906,1,15,2
50,4.081,-16.147,7.905,1.065,1.065,-7.905,1,16,1
51,4.016,-15.843,7.904,0.849,0.849,-7.904,1,17,1
52,3.952,-15.540,7.903,0.579,0.579,-7.903,1,18,1
53,3.887,-15.237,7.946,0.409,0.409,-7.946,1,19,1
54,3.823,-14.934,7.991,0.294,0.294,-7.991,1,20,1
55,3.759,-14.631,8.035,0.252,0.252,-8.035,1,21,1
56,3.694,-14.327,8.104,0.304,0.304,-8.104,1,22,1
57,3.630,-14.024,8.184,0.433,0.433,-8.184,1,23,1
58,3.565,-13.721,8.264,0.580,0.580,-8.264,1,24,1
59,3.501,-13.418,8.356,0.775,0.775,-8.356,1,25,1
