index,position_x,position_y,position_z,Caten-length_walltowall,Bulbcablelength(M),CatenToFloor,lineID,bulbonline,Universe,cat_sagcenter_pt_x,cat_sagcenter_pt_y,cat_sagcenter_pt_z,cat_endpoint1_x,cat_endpoint1_y,cat_endpoint1_z,cat_endpoint2_x,cat_endpoint2_y,cat_endpoint2_z,globalposition_x,globalposition_y,globalposition_z,AmI_0axis_IndicatorGlobal,AmI_Yaxis_indicatorGlobal,AmI_Zaxis_indicatorGlobal,AmI_Xaxis_indicatorGlobal,AmI_Xaxis_indicatorLocal,AmI_Zaxis_indicatorLocal,AmI_0axis_IndicatorLocal,AmI_Yaxis_indicatorLocal
0,-0.0478,0.2250,6.1643,11.3021,2.4708,-2.4708,0,0,2,-1.0776,5.0696,4.8950,0.0419,-0.1970,6.3946,-2.1970,10.3362,6.3946,184.9017,20.5289,3.0099,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1,-0.1144,0.5380,6.0055,11.3021,1.8660,-1.8660,0,1,2,-1.0776,5.0696,4.8950,0.0419,-0.1970,6.3946,-2.1970,10.3362,6.3946,184.9017,20.5289,3.0099,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2,-0.1809,0.8510,5.8574,11.3021,1.3265,-1.3265,0,2,2,-1.0776,5.0696,4.8950,0.0419,-0.1970,6.3946,-2.1970,10.3362,6.3946,184.9017,20.5289,3.0099,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
3,-0.2474,1.1640,5.7197,11.3021,1.0064,-1.0064,0,3,2,-1.0776,5.0696,4.8950,0.0419,-0.1970,6.3946,-2.1970,10.3362,6.3946,184.9017,20.5289,3.0099,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
4,-0.3139,1.4770,5.5926,11.3021,0.9046,-0.9046,0,4,2,-1.0776,5.0696,4.8950,0.0419,-0.1970,6.3946,-2.1970,10.3362,6.3946,184.9017,20.5289,3.0099,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
5,-0.3805,1.7900,5.4764,11.3021,0.9558,-0.9558,0,5,2,-1.0776,5.0696,4.8950,0.0419,-0.1970,6.3946,-2.1970,10.3362,6.3946,184.9017,20.5289,3.0099,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
6,-0.4470,2.1030,5.3708,11.3021,1.1576,-1.1576,0,6,2,-1.0776,5.0696,4.8950,0.0419,-0.1970,6.3946,-2.1970,10.3362,6.3946,184.9017,20.5289,3.0099,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
7,-0.5135,2.4160,5.2758,11.3021,1.5355,-1.5355,0,7,2,-1.0776,5.0696,4.8950,0.0419,-0.1970,6.3946,-2.1970,10.3362,6.3946,184.9017,20.5289,3.0099,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
8,-0.5801,2.7290,5.1913,11.3021,1.8789,-1.8789,0,8,2,-1.0776,5.0696,4.8950,0.0419,-0.1970,6.3946,-2.1970,10.3362,6.3946,184.9017,20.5289,3.0099,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
9,-0.6466,3.0420,5.1173,11.3021,2.0827,-2.0827,0,9,2,-1.0776,5.0696,4.8950,0.0419,-0.1970,6.3946,-2.1970,10.3362,6.3946,184.9017,20.5289,3.0099,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
