index,position_x,position_y,position_z,Bulbcablelength(M),CatenToFloor,bulbonline,lineID,Universe,AmI_0axis_Indicator,AmI_Zaxis_indicator,AmI_Xaxis_indicator,AmI_Yaxis_indicator
0,-0.001,-0.002,6.313,2.909,-6.313,0,0,2,False,False,False,False
1,-0.066,0.302,6.185,2.375,-6.185,1,0,2,False,False,False,False
2,-0.130,0.605,6.057,1.827,-6.057,2,0,2,False,False,False,False
3,-0.195,0.908,5.934,1.338,-5.934,3,0,2,False,False,False,False
4,-0.259,1.211,5.814,1.096,-5.814,4,0,2,False,False,False,False
5,-0.324,1.515,5.694,1.022,-5.694,5,0,2,False,False,False,False
6,-0.388,1.818,5.580,1.087,-5.580,6,0,2,False,False,False,False
7,-0.453,2.121,5.476,1.277,-5.476,7,0,2,False,False,False,False
8,-0.517,2.424,5.371,1.644,-5.371,8,0,2,False,False,False,False
9,-0.582,2.728,5.274,1.960,-5.274,9,0,2,False,False,False,False
10,-0.646,3.031,5.195,2.160,-5.195,10,0,2,False,False,False,False
11,-0.710,3.334,5.114,2.074,-5.114,11,0,2,False,False,False,False
12,-0.775,3.637,5.039,1.843,-5.039,12,0,2,False,False,False,False
13,-0.839,3.940,4.993,1.560,-4.993,13,0,2,False,False,False,False
14,-0.904,4.244,4.948,1.305,-4.948,14,0,2,False,False,False,False
15,-0.968,4.547,4.903,1.156,-4.903,15,0,2,False,False,False,False
16,-1.033,4.850,4.895,1.073,-4.895,16,0,1,False,False,False,False
17,-1.097,5.153,4.895,0.879,-4.895,17,0,1,False,False,False,False
18,-1.162,5.457,4.894,0.647,-4.894,18,0,1,False,False,False,False
19,-1.226,5.760,4.918,0.461,-4.918,19,0,1,False,False,False,False
20,-1.291,6.063,4.962,0.334,-4.962,20,0,1,False,False,False,False
21,-1.355,6.366,5.007,0.295,-5.007,21,0,1,False,False,False,False
22,-1.419,6.669,5.062,0.322,-5.062,22,0,1,False,False,False,False
23,-1.484,6.973,5.141,0.425,-5.141,23,0,1,False,False,False,False
24,-1.548,7.276,5.221,0.578,-5.221,24,0,1,False,False,False,False
25,-1.613,7.579,5.304,0.775,-5.304,25,0,1,False,False,False,False
26,-1.677,7.882,5.410,1.041,-5.410,26,0,1,False,False,False,False
27,-1.742,8.186,5.516,1.344,-5.516,27,0,1,False,False,False,False
28,-1.806,8.489,5.622,1.676,-5.622,28,0,1,False,False,False,False
29,-1.871,8.792,5.744,2.046,-5.744,29,0,1,False,False,False,False
30,-1.935,9.095,5.867,2.405,-5.867,30,0,1,False,False,False,False
31,-2.000,9.398,5.990,2.745,-5.990,31,0,1,False,False,False,False
32,-2.064,9.702,6.120,3.074,-6.120,32,0,1,False,False,False,False
33,-2.128,10.005,6.250,3.371,-6.250,33,0,1,False,False,False,False
34,0.421,0.177,6.250,2.686,-6.250,0,1,2,False,False,False,False
35,0.356,0.480,6.123,2.222,-6.123,1,1,2,False,False,False,False
36,0.292,0.783,5.996,1.799,-5.996,2,1,2,False,False,False,False
37,0.227,1.086,5.877,1.440,-5.877,3,1,2,False,False,False,False
38,0.163,1.389,5.757,1.316,-5.757,4,1,2,False,False,False,False
39,0.098,1.693,5.636,1.412,-5.636,5,1,2,False,False,False,False
40,0.034,1.996,5.531,1.573,-5.531,6,1,2,False,False,False,False
41,-0.030,2.299,5.427,1.798,-5.427,7,1,2,False,False,False,False
42,-0.095,2.602,5.323,2.131,-5.323,8,1,2,False,False,False,False
43,-0.159,2.906,5.238,2.302,-5.238,9,1,2,False,False,False,False
44,-0.224,3.209,5.158,2.276,-5.158,10,1,2,False,False,False,False
45,-0.288,3.512,5.079,2.115,-5.079,11,1,2,False,False,False,False
46,-0.353,3.815,5.019,1.865,-5.019,12,1,2,False,False,False,False
47,-0.417,4.118,4.974,1.536,-4.974,13,1,2,False,False,False,False
48,-0.482,4.422,4.928,1.301,-4.928,14,1,2,False,False,False,False
49,-0.546,4.725,4.896,1.162,-4.896,15,1,2,False,False,False,False
50,-0.611,5.028,4.895,1.065,-4.895,16,1,1,False,False,False,False
51,-0.675,5.331,4.894,0.849,-4.894,17,1,1,False,False,False,False
52,-0.739,5.635,4.894,0.579,-4.894,18,1,1,False,False,False,False
53,-0.804,5.938,4.937,0.409,-4.937,19,1,1,False,False,False,False
54,-0.868,6.241,4.981,0.294,-4.981,20,1,1,False,False,False,False
55,-0.933,6.544,5.025,0.252,-5.025,21,1,1,False,False,False,False
56,-0.997,6.847,5.094,0.304,-5.094,22,1,1,False,False,False,False
57,-1.062,7.151,5.174,0.433,-5.174,23,1,1,False,False,False,False
58,-1.126,7.454,5.254,0.580,-5.254,24,1,1,False,False,False,False
59,-1.191,7.757,5.346,0.775,-5.346,25,1,1,False,False,False,False
60,-1.255,8.060,5.452,1.044,-5.452,26,1,1,False,False,False,False
61,-1.320,8.364,5.558,1.361,-5.558,27,1,1,False,False,False,False
62,-1.384,8.667,5.669,1.708,-5.669,28,1,1,False,False,False,False
63,-1.448,8.970,5.792,2.083,-5.792,29,1,1,False,False,False,False
64,-1.513,9.273,5.914,2.455,-5.914,30,1,1,False,False,False,False
65,-1.577,9.577,6.039,2.787,-6.039,31,1,1,False,False,False,False
66,-1.642,9.880,6.169,3.163,-6.169,32,1,1,False,False,False,False
67,-1.706,10.183,6.299,3.447,-6.299,33,1,1,False,False,False,False
68,0.907,0.052,6.314,2.824,-6.314,0,2,2,False,False,False,False
69,0.843,0.355,6.187,2.477,-6.187,1,2,2,False,False,False,False
70,0.778,0.658,6.060,2.115,-6.060,2,2,2,False,False,False,False
71,0.714,0.961,5.938,1.773,-5.938,3,2,2,False,False,False,False
72,0.649,1.265,5.819,1.620,-5.819,4,2,2,False,False,False,False
73,0.585,1.568,5.700,1.601,-5.700,5,2,2,False,False,False,False
74,0.521,1.871,5.586,1.734,-5.586,6,2,2,False,False,False,False
75,0.456,2.174,5.483,1.981,-5.483,7,2,2,False,False,False,False
76,0.392,2.478,5.379,2.223,-5.379,8,2,2,False,False,False,False
77,0.327,2.781,5.281,2.370,-5.281,9,2,2,False,False,False,False
78,0.263,3.084,5.202,2.419,-5.202,10,2,2,False,False,False,False
79,0.198,3.387,5.123,2.326,-5.123,11,2,2,False,False,False,False
80,0.134,3.691,5.044,2.102,-5.044,12,2,2,False,False,False,False
81,0.069,3.994,4.999,1.812,-4.999,13,2,2,False,False,False,False
82,0.005,4.297,4.954,1.532,-4.954,14,2,2,False,False,False,False
83,-0.060,4.600,4.909,1.311,-4.909,15,2,2,False,False,False,False
84,-0.124,4.903,4.896,1.198,-4.896,16,2,2,False,False,False,False
85,-0.188,5.207,4.895,1.080,-4.895,17,2,1,False,False,False,False
86,-0.253,5.510,4.894,0.860,-4.894,18,2,1,False,False,False,False
87,-0.317,5.813,4.911,0.611,-4.911,19,2,1,False,False,False,False
88,-0.382,6.116,4.955,0.422,-4.955,20,2,1,False,False,False,False
89,-0.446,6.420,4.999,0.270,-4.999,21,2,1,False,False,False,False
90,-0.511,6.723,5.047,0.190,-5.047,22,2,1,False,False,False,False
91,-0.575,7.026,5.126,0.247,-5.126,23,2,1,False,False,False,False
92,-0.640,7.329,5.205,0.350,-5.205,24,2,1,False,False,False,False
