index,position_x,position_y,position_z,Caten-length_walltowall,Bulbcablelength(M),CatenToFloor,LineID,cat_sagcenter_pt_x,cat_sagcenter_pt_y,cat_sagcenter_pt_z,cat_endpoint1_x,cat_endpoint1_y,cat_endpoint1_z,cat_endpoint2_x,cat_endpoint2_y,cat_endpoint2_z,AmI_Zaxis_indicator,AmI_Xaxis_indicator,AmI_0axis_Indicator,AmI_Yaxis_indicator
0,-0.014,0.066,6.221,11.472,2.731,-6.221,0,-1.077,5.069,4.693,0.042,-0.197,6.395,-2.197,10.336,6.395,False,False,False,False
1,-0.070,0.329,6.047,11.472,2.196,-6.047,0,-1.077,5.069,4.693,0.042,-0.197,6.395,-2.197,10.336,6.395,False,False,False,False
2,-0.127,0.600,5.887,11.472,1.665,-5.887,0,-1.077,5.069,4.693,0.042,-0.197,6.395,-2.197,10.336,6.395,False,False,False,False
3,-0.186,0.875,5.736,11.472,1.177,-5.736,0,-1.077,5.069,4.693,0.042,-0.197,6.395,-2.197,10.336,6.395,False,False,False,False
4,-0.245,1.154,5.590,11.472,0.878,-5.590,0,-1.077,5.069,4.693,0.042,-0.197,6.395,-2.197,10.336,6.395,False,False,False,False
5,-0.306,1.441,5.463,11.472,0.758,-5.463,0,-1.077,5.069,4.693,0.042,-0.197,6.395,-2.197,10.336,6.395,False,False,False,False
6,-0.367,1.728,5.335,11.472,0.789,-5.335,0,-1.077,5.069,4.693,0.042,-0.197,6.395,-2.197,10.336,6.395,False,False,False,False
7,-0.430,2.023,5.228,11.472,0.940,-5.228,0,-1.077,5.069,4.693,0.042,-0.197,6.395,-2.197,10.336,6.395,False,False,False,False
8,-0.493,2.319,5.125,11.472,1.217,-5.125,0,-1.077,5.069,4.693,0.042,-0.197,6.395,-2.197,10.336,6.395,False,False,False,False
9,-0.557,2.619,5.033,11.472,1.611,-5.033,0,-1.077,5.069,4.693,0.042,-0.197,6.395,-2.197,10.336,6.395,False,False,False,False
10,-0.621,2.922,4.955,11.472,1.877,-4.955,0,-1.077,5.069,4.693,0.042,-0.197,6.395,-2.197,10.336,6.395,False,False,False,False
11,-0.686,3.226,4.878,11.472,1.841,-4.878,0,-1.077,5.069,4.693,0.042,-0.197,6.395,-2.197,10.336,6.395,False,False,False,False
12,-0.751,3.535,4.826,11.472,1.686,-4.826,0,-1.077,5.069,4.693,0.042,-0.197,6.395,-2.197,10.336,6.395,False,False,False,False
13,-0.817,3.844,4.774,11.472,1.428,-4.774,0,-1.077,5.069,4.693,0.042,-0.197,6.395,-2.197,10.336,6.395,False,False,False,False
14,-0.883,4.155,4.739,11.472,1.147,-4.739,0,-1.077,5.069,4.693,0.042,-0.197,6.395,-2.197,10.336,6.395,False,False,False,False
15,-0.949,4.467,4.713,11.472,0.989,-4.713,0,-1.077,5.069,4.693,0.042,-0.197,6.395,-2.197,10.336,6.395,False,False,False,False
16,-1.016,4.779,4.693,11.472,0.895,-4.693,0,-1.077,5.069,4.693,0.042,-0.197,6.395,-2.197,10.336,6.395,False,False,False,False
17,-1.082,5.093,4.693,11.472,0.733,-4.693,0,-1.077,5.069,4.693,0.042,-0.197,6.395,-2.197,10.336,6.395,False,False,False,False
18,-1.149,5.406,4.693,11.472,0.501,-4.693,0,-1.077,5.069,4.693,0.042,-0.197,6.395,-2.197,10.336,6.395,False,False,False,False
19,-1.215,5.718,4.717,11.472,0.303,-4.717,0,-1.077,5.069,4.693,0.042,-0.197,6.395,-2.197,10.336,6.395,False,False,False,False
20,-1.282,6.030,4.743,11.472,0.157,-4.743,0,-1.077,5.069,4.693,0.042,-0.197,6.395,-2.197,10.336,6.395,False,False,False,False
21,-1.348,6.341,4.782,11.472,0.103,-4.782,0,-1.077,5.069,4.693,0.042,-0.197,6.395,-2.197,10.336,6.395,False,False,False,False
22,-1.413,6.650,4.834,11.472,0.123,-4.834,0,-1.077,5.069,4.693,0.042,-0.197,6.395,-2.197,10.336,6.395,False,False,False,False
23,-1.479,6.958,4.889,11.472,0.194,-4.889,0,-1.077,5.069,4.693,0.042,-0.197,6.395,-2.197,10.336,6.395,False,False,False,False
24,-1.544,7.262,4.967,11.472,0.341,-4.967,0,-1.077,5.069,4.693,0.042,-0.197,6.395,-2.197,10.336,6.395,False,False,False,False
25,-1.608,7.566,5.045,11.472,0.528,-5.045,0,-1.077,5.069,4.693,0.042,-0.197,6.395,-2.197,10.336,6.395,False,False,False,False
26,-1.672,7.864,5.140,11.472,0.774,-5.140,0,-1.077,5.069,4.693,0.042,-0.197,6.395,-2.197,10.336,6.395,False,False,False,False
27,-1.735,8.160,5.243,11.472,1.063,-5.243,0,-1.077,5.069,4.693,0.042,-0.197,6.395,-2.197,10.336,6.395,False,False,False,False
28,-1.797,8.454,5.354,11.472,1.388,-5.354,0,-1.077,5.069,4.693,0.042,-0.197,6.395,-2.197,10.336,6.395,False,False,False,False
29,-1.858,8.741,5.482,11.472,1.745,-5.482,0,-1.077,5.069,4.693,0.042,-0.197,6.395,-2.197,10.336,6.395,False,False,False,False
30,-1.919,9.029,5.610,11.472,2.098,-5.610,0,-1.077,5.069,4.693,0.042,-0.197,6.395,-2.197,10.336,6.395,False,False,False,False
31,-1.978,9.305,5.759,11.472,2.451,-5.759,0,-1.077,5.069,4.693,0.042,-0.197,6.395,-2.197,10.336,6.395,False,False,False,False
32,-2.037,9.581,5.910,11.472,2.789,-5.910,0,-1.077,5.069,4.693,0.042,-0.197,6.395,-2.197,10.336,6.395,False,False,False,False
33,-2.094,9.850,6.073,11.472,3.115,-6.073,0,-1.077,5.069,4.693,0.042,-0.197,6.395,-2.197,10.336,6.395,False,False,False,False
34,0.412,0.224,6.135,11.512,2.520,-6.135,1,-0.627,5.117,4.693,0.496,-0.171,6.395,-1.751,10.404,6.395,False,False,False,False
35,0.356,0.489,5.964,11.512,2.054,-5.964,1,-0.627,5.117,4.693,0.496,-0.171,6.395,-1.751,10.404,6.395,False,False,False,False
36,0.297,0.765,5.814,11.512,1.633,-5.814,1,-0.627,5.117,4.693,0.496,-0.171,6.395,-1.751,10.404,6.395,False,False,False,False
37,0.239,1.041,5.663,11.512,1.230,-5.663,1,-0.627,5.117,4.693,0.496,-0.171,6.395,-1.751,10.404,6.395,False,False,False,False
38,0.178,1.325,5.529,11.512,1.089,-5.529,1,-0.627,5.117,4.693,0.496,-0.171,6.395,-1.751,10.404,6.395,False,False,False,False
39,0.117,1.612,5.402,11.512,1.118,-5.402,1,-0.627,5.117,4.693,0.496,-0.171,6.395,-1.751,10.404,6.395,False,False,False,False
40,0.056,1.903,5.282,11.512,1.242,-5.282,1,-0.627,5.117,4.693,0.496,-0.171,6.395,-1.751,10.404,6.395,False,False,False,False
41,-0.007,2.199,5.180,11.512,1.414,-5.180,1,-0.627,5.117,4.693,0.496,-0.171,6.395,-1.751,10.404,6.395,False,False,False,False
42,-0.070,2.495,5.077,11.512,1.735,-5.077,1,-0.627,5.117,4.693,0.496,-0.171,6.395,-1.751,10.404,6.395,False,False,False,False
43,-0.135,2.799,4.997,11.512,1.953,-4.997,1,-0.627,5.117,4.693,0.496,-0.171,6.395,-1.751,10.404,6.395,False,False,False,False
44,-0.199,3.102,4.919,11.512,2.035,-4.919,1,-0.627,5.117,4.693,0.496,-0.171,6.395,-1.751,10.404,6.395,False,False,False,False
45,-0.264,3.409,4.855,11.512,1.945,-4.855,1,-0.627,5.117,4.693,0.496,-0.171,6.395,-1.751,10.404,6.395,False,False,False,False
46,-0.330,3.717,4.803,11.512,1.735,-4.803,1,-0.627,5.117,4.693,0.496,-0.171,6.395,-1.751,10.404,6.395,False,False,False,False
47,-0.396,4.027,4.753,11.512,1.399,-4.753,1,-0.627,5.117,4.693,0.496,-0.171,6.395,-1.751,10.404,6.395,False,False,False,False
48,-0.462,4.339,4.727,11.512,1.151,-4.727,1,-0.627,5.117,4.693,0.496,-0.171,6.395,-1.751,10.404,6.395,False,False,False,False
49,-0.528,4.651,4.701,11.512,0.992,-4.701,1,-0.627,5.117,4.693,0.496,-0.171,6.395,-1.751,10.404,6.395,False,False,False,False
50,-0.595,4.964,4.693,11.512,0.902,-4.693,1,-0.627,5.117,4.693,0.496,-0.171,6.395,-1.751,10.404,6.395,False,False,False,False
51,-0.662,5.277,4.693,11.512,0.712,-4.693,1,-0.627,5.117,4.693,0.496,-0.171,6.395,-1.751,10.404,6.395,False,False,False,False
52,-0.728,5.590,4.702,11.512,0.452,-4.702,1,-0.627,5.117,4.693,0.496,-0.171,6.395,-1.751,10.404,6.395,False,False,False,False
53,-0.794,5.902,4.728,11.512,0.260,-4.728,1,-0.627,5.117,4.693,0.496,-0.171,6.395,-1.751,10.404,6.395,False,False,False,False
54,-0.861,6.214,4.754,11.512,0.122,-4.754,1,-0.627,5.117,4.693,0.496,-0.171,6.395,-1.751,10.404,6.395,False,False,False,False
55,-0.927,6.523,4.804,11.512,0.080,-4.804,1,-0.627,5.117,4.693,0.496,-0.171,6.395,-1.751,10.404,6.395,False,False,False,False
56,-0.992,6.832,4.856,11.512,0.111,-4.856,1,-0.627,5.117,4.693,0.496,-0.171,6.395,-1.751,10.404,6.395,False,False,False,False
57,-1.057,7.139,4.921,11.512,0.217,-4.921,1,-0.627,5.117,4.693,0.496,-0.171,6.395,-1.751,10.404,6.395,False,False,False,False
58,-1.122,7.443,4.999,11.512,0.355,-4.999,1,-0.627,5.117,4.693,0.496,-0.171,6.395,-1.751,10.404,6.395,False,False,False,False
59,-1.186,7.745,5.079,11.512,0.527,-5.079,1,-0.627,5.117,4.693,0.496,-0.171,6.395,-1.751,10.404,6.395,False,False,False,False
60,-1.249,8.042,5.182,11.512,0.780,-5.182,1,-0.627,5.117,4.693,0.496,-0.171,6.395,-1.751,10.404,6.395,False,False,False,False
61,-1.312,8.338,5.285,11.512,1.079,-5.285,1,-0.627,5.117,4.693,0.496,-0.171,6.395,-1.751,10.404,6.395,False,False,False,False
62,-1.374,8.628,5.405,11.512,1.416,-5.405,1,-0.627,5.117,4.693,0.496,-0.171,6.395,-1.751,10.404,6.395,False,False,False,False
63,-1.435,8.916,5.532,11.512,1.779,-5.532,1,-0.627,5.117,4.693,0.496,-0.171,6.395,-1.751,10.404,6.395,False,False,False,False
64,-1.496,9.200,5.667,11.512,2.158,-5.667,1,-0.627,5.117,4.693,0.496,-0.171,6.395,-1.751,10.404,6.395,False,False,False,False
65,-1.554,9.476,5.817,11.512,2.494,-5.817,1,-0.627,5.117,4.693,0.496,-0.171,6.395,-1.751,10.404,6.395,False,False,False,False
66,-1.613,9.752,5.968,11.512,2.850,-5.968,1,-0.627,5.117,4.693,0.496,-0.171,6.395,-1.751,10.404,6.395,False,False,False,False
67,-1.669,10.016,6.139,11.512,3.227,-6.139,1,-0.627,5.117,4.693,0.496,-0.171,6.395,-1.751,10.404,6.395,False,False,False,False
68,0.895,0.120,6.222,11.553,2.679,-6.222,2,-0.178,5.165,4.693,0.951,-0.144,6.395,-1.306,10.475,6.395,False,False,False,False
69,0.839,0.384,6.050,11.553,2.319,-6.050,2,-0.178,5.165,4.693,0.951,-0.144,6.395,-1.306,10.475,6.395,False,False,False,False
70,0.781,0.655,5.890,11.553,1.948,-5.890,2,-0.178,5.165,4.693,0.951,-0.144,6.395,-1.306,10.475,6.395,False,False,False,False
71,0.722,0.931,5.740,11.553,1.603,-5.740,2,-0.178,5.165,4.693,0.951,-0.144,6.395,-1.306,10.475,6.395,False,False,False,False
72,0.663,1.210,5.595,11.553,1.398,-5.595,2,-0.178,5.165,4.693,0.951,-0.144,6.395,-1.306,10.475,6.395,False,False,False,False
73,0.602,1.497,5.468,11.553,1.324,-5.468,2,-0.178,5.165,4.693,0.951,-0.144,6.395,-1.306,10.475,6.395,False,False,False,False
74,0.541,1.785,5.342,11.553,1.399,-5.342,2,-0.178,5.165,4.693,0.951,-0.144,6.395,-1.306,10.475,6.395,False,False,False,False
75,0.478,2.079,5.234,11.553,1.622,-5.234,2,-0.178,5.165,4.693,0.951,-0.144,6.395,-1.306,10.475,6.395,False,False,False,False
76,0.415,2.376,5.132,11.553,1.861,-5.132,2,-0.178,5.165,4.693,0.951,-0.144,6.395,-1.306,10.475,6.395,False,False,False,False
77,0.352,2.675,5.038,11.553,2.068,-5.038,2,-0.178,5.165,4.693,0.951,-0.144,6.395,-1.306,10.475,6.395,False,False,False,False
78,0.287,2.979,4.961,11.553,2.180,-4.961,2,-0.178,5.165,4.693,0.951,-0.144,6.395,-1.306,10.475,6.395,False,False,False,False
79,0.222,3.283,4.884,11.553,2.104,-4.884,2,-0.178,5.165,4.693,0.951,-0.144,6.395,-1.306,10.475,6.395,False,False,False,False
80,0.157,3.591,4.831,11.553,1.938,-4.831,2,-0.178,5.165,4.693,0.951,-0.144,6.395,-1.306,10.475,6.395,False,False,False,False
81,0.091,3.900,4.779,11.553,1.678,-4.779,2,-0.178,5.165,4.693,0.951,-0.144,6.395,-1.306,10.475,6.395,False,False,False,False
82,0.025,4.211,4.742,11.553,1.379,-4.742,2,-0.178,5.165,4.693,0.951,-0.144,6.395,-1.306,10.475,6.395,False,False,False,False
83,-0.041,4.523,4.716,11.553,1.153,-4.716,2,-0.178,5.165,4.693,0.951,-0.144,6.395,-1.306,10.475,6.395,False,False,False,False
84,-0.108,4.835,4.693,11.553,1.024,-4.693,2,-0.178,5.165,4.693,0.951,-0.144,6.395,-1.306,10.475,6.395,False,False,False,False
85,-0.174,5.149,4.693,11.553,0.921,-4.693,2,-0.178,5.165,4.693,0.951,-0.144,6.395,-1.306,10.475,6.395,False,False,False,False
86,-0.241,5.462,4.693,11.553,0.735,-4.693,2,-0.178,5.165,4.693,0.951,-0.144,6.395,-1.306,10.475,6.395,False,False,False,False
87,-0.307,5.774,4.713,11.553,0.487,-4.713,2,-0.178,5.165,4.693,0.951,-0.144,6.395,-1.306,10.475,6.395,False,False,False,False
88,-0.374,6.086,4.739,11.553,0.282,-4.739,2,-0.178,5.165,4.693,0.951,-0.144,6.395,-1.306,10.475,6.395,False,False,False,False
89,-0.440,6.397,4.773,11.553,0.122,-4.773,2,-0.178,5.165,4.693,0.951,-0.144,6.395,-1.306,10.475,6.395,False,False,False,False
90,-0.505,6.706,4.825,11.553,0.046,-4.825,2,-0.178,5.165,4.693,0.951,-0.144,6.395,-1.306,10.475,6.395,False,False,False,False
91,-0.571,7.015,4.877,11.553,0.064,-4.877,2,-0.178,5.165,4.693,0.951,-0.144,6.395,-1.306,10.475,6.395,False,False,False,False
92,-0.636,7.320,4.953,11.553,0.152,-4.953,2,-0.178,5.165,4.693,0.951,-0.144,6.395,-1.306,10.475,6.395,False,False,False,False
93,-0.700,7.624,5.030,11.553,0.234,-5.030,2,-0.178,5.165,4.693,0.951,-0.144,6.395,-1.306,10.475,6.395,False,False,False,False
94,-0.764,7.924,5.121,11.553,0.408,-5.121,2,-0.178,5.165,4.693,0.951,-0.144,6.395,-1.306,10.475,6.395,False,False,False,False
95,-0.827,8.220,5.223,11.553,0.663,-5.223,2,-0.178,5.165,4.693,0.951,-0.144,6.395,-1.306,10.475,6.395,False,False,False,False
96,-0.890,8.516,5.328,11.553,0.950,-5.328,2,-0.178,5.165,4.693,0.951,-0.144,6.395,-1.306,10.475,6.395,False,False,False,False
97,-0.951,8.804,5.455,11.553,1.275,-5.455,2,-0.178,5.165,4.693,0.951,-0.144,6.395,-1.306,10.475,6.395,False,False,False,False
98,-1.012,9.092,5.581,11.553,1.608,-5.581,2,-0.178,5.165,4.693,0.951,-0.144,6.395,-1.306,10.475,6.395,False,False,False,False
99,-1.072,9.372,5.725,11.553,1.969,-5.725,2,-0.178,5.165,4.693,0.951,-0.144,6.395,-1.306,10.475,6.395,False,False,False,False
100,-1.131,9.648,5.875,11.553,2.363,-5.875,2,-0.178,5.165,4.693,0.951,-0.144,6.395,-1.306,10.475,6.395,False,False,False,False
101,-1.189,9.920,6.032,11.553,2.772,-6.032,2,-0.178,5.165,4.693,0.951,-0.144,6.395,-1.306,10.475,6.395,False,False,False,False
102,-1.245,10.184,6.204,11.553,3.083,-6.204,2,-0.178,5.165,4.693,0.951,-0.144,6.395,-1.306,10.475,6.395,False,False,False,False
