index,position_x,position_y,position_z,Caten-length_walltowall,Bulbcablelength(M),CatenToFloor,bulbonline,lineID,Universe,cat_sagcenter_pt_x,cat_sagcenter_pt_y,cat_sagcenter_pt_z,cat_endpoint1_x,cat_endpoint1_y,cat_endpoint1_z,cat_endpoint2_x,cat_endpoint2_y,cat_endpoint2_z,AmI_0axis_IndicatorLocal,AmI_Zaxis_indicatorLocal,AmI_Yaxis_indicatorLocal,AmI_Xaxis_indicatorLocal,AmI_0axis_IndicatorGlobal,AmI_Xaxis_indicatorGlobal,AmI_Yaxis_indicatorGlobal,AmI_Zaxis_indicatorGlobal,Up
0,-0.020,0.096,6.201,11.475,2.672,-2.672,0,0,2,0.000,5.183,4.693,0.000,-0.201,6.395,0.000,10.567,6.395,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1,-0.087,0.409,5.994,11.475,2.027,-2.027,1,0,2,0.000,5.183,4.693,0.000,-0.201,6.395,0.000,10.567,6.395,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2,-0.154,0.722,5.820,11.475,1.446,-1.446,2,0,2,0.000,5.183,4.693,0.000,-0.201,6.395,0.000,10.567,6.395,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
3,-0.220,1.035,5.649,11.475,0.941,-0.941,3,0,2,0.000,5.183,4.693,0.000,-0.201,6.395,0.000,10.567,6.395,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
4,-0.287,1.348,5.504,11.475,0.777,-0.777,4,0,2,0.000,5.183,4.693,0.000,-0.201,6.395,0.000,10.567,6.395,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
5,-0.353,1.661,5.365,11.475,0.778,-0.778,5,0,2,0.000,5.183,4.693,0.000,-0.201,6.395,0.000,10.567,6.395,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
6,-0.420,1.974,5.245,11.475,0.908,-0.908,6,0,2,0.000,5.183,4.693,0.000,-0.201,6.395,0.000,10.567,6.395,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
7,-0.486,2.287,5.136,11.475,1.174,-1.174,7,0,2,0.000,5.183,4.693,0.000,-0.201,6.395,0.000,10.567,6.395,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
8,-0.553,2.600,5.038,11.475,1.598,-1.598,8,0,2,0.000,5.183,4.693,0.000,-0.201,6.395,0.000,10.567,6.395,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
9,-0.619,2.913,4.957,11.475,1.868,-1.868,9,0,2,0.000,5.183,4.693,0.000,-0.201,6.395,0.000,10.567,6.395,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
10,-0.686,3.226,4.878,11.475,1.841,-1.841,10,0,2,0.000,5.183,4.693,0.000,-0.201,6.395,0.000,10.567,6.395,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
11,-0.752,3.539,4.825,11.475,1.683,-1.683,11,0,2,0.000,5.183,4.693,0.000,-0.201,6.395,0.000,10.567,6.395,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
