index,position_x,position_y,position_z,pitchy,pitchx,Caten-length_walltowall,Bulbcablelength(M),CatenToFloor,LineID,Universe,bulbonline,cat_sagcenter_pt_x,cat_sagcenter_pt_y,cat_sagcenter_pt_z,cat_endpoint1_x,cat_endpoint1_y,cat_endpoint1_z,cat_endpoint2_x,cat_endpoint2_y,cat_endpoint2_z,AmI_Yaxis_indicatorLocal,AmI_Xaxis_indicatorLocal,AmI_0axis_IndicatorLocal,AmI_Zaxis_indicatorLocal,AmI_0axis_IndicatorGlobal,AmI_Zaxis_indicatorGlobal,AmI_Yaxis_indicatorGlobal,AmI_Xaxis_indicatorGlobal
0,-0.014,0.066,6.221,0.320,0.450,11.471,2.731,-2.731,0,2,0,0.000,5.181,4.693,0.000,-0.201,6.395,0.000,10.567,6.395,False,False,False,False,False,False,False,False
1,-0.070,0.329,6.047,0.320,0.450,11.471,2.196,-2.196,0,2,1,0.000,5.181,4.693,0.000,-0.201,6.395,0.000,10.567,6.395,False,False,False,False,False,False,False,False
2,-0.127,0.600,5.887,0.320,0.450,11.471,1.665,-1.665,0,2,2,0.000,5.181,4.693,0.000,-0.201,6.395,0.000,10.567,6.395,False,False,False,False,False,False,False,False
3,-0.186,0.875,5.736,0.320,0.450,11.471,1.177,-1.177,0,2,3,0.000,5.181,4.693,0.000,-0.201,6.395,0.000,10.567,6.395,False,False,False,False,False,False,False,False
4,-0.245,1.154,5.590,0.320,0.450,11.471,0.878,-0.878,0,2,4,0.000,5.181,4.693,0.000,-0.201,6.395,0.000,10.567,6.395,False,False,False,False,False,False,False,False
5,-0.306,1.441,5.463,0.320,0.450,11.471,0.758,-0.758,0,2,5,0.000,5.181,4.693,0.000,-0.201,6.395,0.000,10.567,6.395,False,False,False,False,False,False,False,False
6,-0.367,1.728,5.335,0.320,0.450,11.471,0.789,-0.789,0,2,6,0.000,5.181,4.693,0.000,-0.201,6.395,0.000,10.567,6.395,False,False,False,False,False,False,False,False
7,-0.430,2.023,5.228,0.320,0.450,11.471,0.940,-0.940,0,2,7,0.000,5.181,4.693,0.000,-0.201,6.395,0.000,10.567,6.395,False,False,False,False,False,False,False,False
8,-0.493,2.319,5.125,0.320,0.450,11.471,1.217,-1.217,0,2,8,0.000,5.181,4.693,0.000,-0.201,6.395,0.000,10.567,6.395,False,False,False,False,False,False,False,False
9,-0.557,2.619,5.033,0.320,0.450,11.471,1.611,-1.611,0,2,9,0.000,5.181,4.693,0.000,-0.201,6.395,0.000,10.567,6.395,False,False,False,False,False,False,False,False
10,-0.621,2.922,4.955,0.320,0.450,11.471,1.877,-1.877,0,2,10,0.000,5.181,4.693,0.000,-0.201,6.395,0.000,10.567,6.395,False,False,False,False,False,False,False,False
11,-0.686,3.226,4.878,0.320,0.450,11.471,1.841,-1.841,0,2,11,0.000,5.181,4.693,0.000,-0.201,6.395,0.000,10.567,6.395,False,False,False,False,False,False,False,False
12,-0.751,3.535,4.826,0.320,0.450,11.471,1.686,-1.686,0,2,12,0.000,5.181,4.693,0.000,-0.201,6.395,0.000,10.567,6.395,False,False,False,False,False,False,False,False
13,-0.817,3.844,4.774,0.320,0.450,11.471,1.428,-1.428,0,2,13,0.000,5.181,4.693,0.000,-0.201,6.395,0.000,10.567,6.395,False,False,False,False,False,False,False,False
14,-0.883,4.155,4.739,0.320,0.450,11.471,1.147,-1.147,0,2,14,0.000,5.181,4.693,0.000,-0.201,6.395,0.000,10.567,6.395,False,False,False,False,False,False,False,False
15,-0.949,4.466,4.713,0.320,0.450,11.471,0.990,-0.990,0,2,15,0.000,5.181,4.693,0.000,-0.201,6.395,0.000,10.567,6.395,False,False,False,False,False,False,False,False
16,-1.016,4.778,4.693,0.320,0.450,11.471,0.895,-0.895,0,1,16,0.000,5.181,4.693,0.000,-0.201,6.395,0.000,10.567,6.395,False,False,False,False,False,False,False,False
17,-1.082,5.091,4.693,0.320,0.450,11.471,0.734,-0.734,0,1,17,0.000,5.181,4.693,0.000,-0.201,6.395,0.000,10.567,6.395,False,False,False,False,False,False,False,False
18,-1.149,5.404,4.693,0.320,0.450,11.471,0.502,-0.502,0,1,18,0.000,5.181,4.693,0.000,-0.201,6.395,0.000,10.567,6.395,False,False,False,False,False,False,False,False
19,-1.215,5.716,4.716,0.320,0.450,11.471,0.304,-0.304,0,1,19,0.000,5.181,4.693,0.000,-0.201,6.395,0.000,10.567,6.395,False,False,False,False,False,False,False,False
20,-1.281,6.028,4.743,0.320,0.450,11.471,0.158,-0.158,0,1,20,0.000,5.181,4.693,0.000,-0.201,6.395,0.000,10.567,6.395,False,False,False,False,False,False,False,False
21,-1.347,6.338,4.781,0.320,0.450,11.471,0.103,-0.103,0,1,21,0.000,5.181,4.693,0.000,-0.201,6.395,0.000,10.567,6.395,False,False,False,False,False,False,False,False
22,-1.413,6.647,4.834,0.320,0.450,11.471,0.123,-0.123,0,1,22,0.000,5.181,4.693,0.000,-0.201,6.395,0.000,10.567,6.395,False,False,False,False,False,False,False,False
23,-1.479,6.956,4.888,0.320,0.450,11.471,0.193,-0.193,0,1,23,0.000,5.181,4.693,0.000,-0.201,6.395,0.000,10.567,6.395,False,False,False,False,False,False,False,False
24,-1.543,7.260,4.966,0.320,0.450,11.471,0.340,-0.340,0,1,24,0.000,5.181,4.693,0.000,-0.201,6.395,0.000,10.567,6.395,False,False,False,False,False,False,False,False
25,-1.608,7.564,5.044,0.320,0.450,11.471,0.526,-0.526,0,1,25,0.000,5.181,4.693,0.000,-0.201,6.395,0.000,10.567,6.395,False,False,False,False,False,False,False,False
26,-1.671,7.862,5.140,0.320,0.450,11.471,0.772,-0.772,0,1,26,0.000,5.181,4.693,0.000,-0.201,6.395,0.000,10.567,6.395,False,False,False,False,False,False,False,False
27,-1.734,8.159,5.243,0.320,0.450,11.471,1.062,-1.062,0,1,27,0.000,5.181,4.693,0.000,-0.201,6.395,0.000,10.567,6.395,False,False,False,False,False,False,False,False
28,-1.797,8.453,5.354,0.320,0.450,11.471,1.387,-1.387,0,1,28,0.000,5.181,4.693,0.000,-0.201,6.395,0.000,10.567,6.395,False,False,False,False,False,False,False,False
29,-1.858,8.740,5.482,0.320,0.450,11.471,1.744,-1.744,0,1,29,0.000,5.181,4.693,0.000,-0.201,6.395,0.000,10.567,6.395,False,False,False,False,False,False,False,False
