ID,Panel,col,row,x 3d,y 3d,to steelwire,to ceiling,to floor,x 2d,y 2d,DMX universe,DMX bk,DMX address,sensor index,deflection_cm,to wall,sequence index,known dmx,known pos,Labels,RackID,DimID,DimPort
0,000-A,0,0,-2.110,9.928,0,3.479,2.915,0,0,0,0,1,0,325.6,0.417,31,1,1,row:1|pos:1|dim:1|id:1,0,1,1
1,000-A,1,0,-2.044,9.615,0,3.295,3.100,0,0,0,0,2,0,291.2,0.737,30,1,1,row:1|pos:2|dim:1|id:2,0,1,1
2,000-A,2,0,-1.977,9.302,0,3.084,3.311,0,0,0,0,3,0,255.3,1.057,29,1,1,row:1|pos:3|dim:1|id:3,0,1,1
3,000-A,3,0,-1.911,8.989,0,2.852,3.542,0,0,0,0,4,0,218.3,1.377,28,1,1,row:1|pos:4|dim:1|id:4,0,1,1
4,000-A,4,0,-1.844,8.676,0,2.605,3.790,0,0,0,0,5,0,180.9,1.697,27,1,1,row:1|pos:5|dim:1|id:5,0,1,1
5,000-A,5,0,-1.778,8.363,0,2.362,4.033,0,0,0,0,6,0,144.9,2.017,26,1,1,row:1|pos:6|dim:1|id:6,0,1,1
6,000-A,6,0,-1.711,8.050,0,2.141,4.253,0,0,0,0,7,0,112.2,2.337,25,1,1,row:1|pos:7|dim:1|id:7,0,1,1
7,000-A,7,0,-1.645,7.737,0,1.961,4.434,0,0,0,0,8,0,84.6,2.657,24,1,1,row:1|pos:8|dim:1|id:8,0,1,1
8,000-A,8,0,-1.578,7.424,0,1.825,4.569,0,0,0,0,9,0,62.5,2.977,23,1,1,row:1|pos:9|dim:1|id:9,0,1,1
9,000-A,9,0,-1.512,7.111,0,1.735,4.660,0,0,0,0,10,0,46.1,3.297,22,1,1,row:1|pos:10|dim:1|id:10,0,1,1
10,000-A,10,0,-1.445,6.798,0,1.680,4.715,0,0,0,0,11,0,34.2,3.617,21,1,1,row:1|pos:11|dim:1|id:11,0,1,1
11,000-A,11,0,-1.379,6.485,0,1.690,4.704,0,0,0,0,12,0,29.9,3.937,20,1,1,row:1|pos:12|dim:1|id:12,0,1,1
12,000-A,12,0,-1.312,6.172,0,1.768,4.626,0,0,0,0,13,0,33.4,4.257,19,1,1,row:1|pos:13|dim:1|id:13,0,1,1
13,000-A,13,0,-1.245,5.859,0,1.921,4.473,0,0,0,0,14,0,45.5,4.577,18,1,1,row:1|pos:14|dim:1|id:14,0,1,1
14,000-A,14,0,-1.179,5.546,0,2.107,4.288,0,0,0,0,15,0,62.0,4.897,17,1,1,row:1|pos:15|dim:1|id:15,0,1,1
15,000-A,15,0,-1.112,5.233,0,2.296,4.098,0,0,0,0,16,0,79.8,5.217,16,1,1,row:1|pos:16|dim:1|id:16,0,1,1
16,000-A,16,0,-1.046,4.920,0,2.464,3.931,0,0,0,0,17,0,96.6,5.231,15,1,1,row:1|pos:17|dim:1|id:17,0,1,1
17,000-A,17,0,-0.979,4.607,0,2.605,3.789,0,0,0,0,18,0,111.7,4.911,14,1,1,row:1|pos:18|dim:1|id:18,0,1,1
18,000-A,18,0,-0.913,4.294,0,2.740,3.654,0,0,0,0,19,0,127.3,4.591,13,1,1,row:1|pos:19|dim:1|id:19,0,1,1
19,000-A,19,0,-0.846,3.981,0,2.933,3.461,0,0,0,0,20,0,149.7,4.271,12,1,1,row:1|pos:20|dim:1|id:20,0,1,1
20,000-A,20,0,-0.780,3.668,0,3.183,3.211,0,0,0,0,21,0,179.0,3.951,11,1,1,row:1|pos:21|dim:1|id:21,0,1,1
21,000-A,21,0,-0.713,3.355,0,3.351,3.044,0,0,0,0,22,0,201.0,3.631,10,1,1,row:1|pos:22|dim:1|id:22,0,1,1
22,000-A,22,0,-0.647,3.042,0,3.360,3.035,0,0,0,0,23,0,208.3,3.311,9,1,1,row:1|pos:23|dim:1|id:23,0,1,1
23,000-A,23,0,-0.580,2.729,0,3.082,3.312,0,0,0,0,24,0,187.9,2.991,8,1,1,row:1|pos:24|dim:1|id:24,0,1,1
24,000-A,24,0,-0.513,2.416,0,2.654,3.740,0,0,0,0,25,0,153.6,2.671,7,1,1,row:1|pos:25|dim:1|id:25,0,1,1
25,000-A,25,0,-0.447,2.103,0,2.181,4.213,0,0,0,0,26,0,115.8,2.351,6,1,1,row:1|pos:26|dim:1|id:26,0,1,1
26,000-A,26,0,-0.381,1.790,0,1.874,4.521,0,0,0,0,27,0,95.6,2.031,5,1,1,row:1|pos:27|dim:1|id:27,0,1,1
27,000-A,27,0,-0.314,1.477,0,1.707,4.688,0,0,0,0,28,0,90.5,1.711,4,1,1,row:1|pos:28|dim:1|id:28,0,1,1
28,000-A,28,0,-0.247,1.164,0,1.681,4.713,0,0,0,0,29,0,100.6,1.391,3,1,1,row:1|pos:29|dim:1|id:29,0,1,1
29,000-A,29,0,-0.181,0.851,0,1.864,4.531,0,0,0,0,30,0,132.7,1.071,2,1,1,row:1|pos:30|dim:1|id:30,0,1,1
30,000-A,30,0,-0.114,0.538,0,2.255,4.139,0,0,0,0,31,0,186.6,0.751,1,1,1,row:1|pos:31|dim:1|id:31,0,1,1
31,000-A,31,0,-0.048,0.225,0,2.701,3.693,0,0,0,0,32,0,247.1,0.431,0,1,1,row:1|pos:32|dim:1|id:32,0,1,1
32,000-A,0,1,0.426,0.162,0,2.846,3.548,0,0,0,0,33,0,266.3,0.340,0,1,1,row:2|pos:1|dim:1|id:33,0,1,1
33,000-A,1,1,0.359,0.475,0,2.500,3.895,0,0,0,0,34,0,215.6,0.660,1,1,1,row:2|pos:2|dim:1|id:34,0,1,1
34,000-A,2,1,0.292,0.788,0,2.194,4.200,0,0,0,0,35,0,170.0,0.980,2,1,1,row:2|pos:3|dim:1|id:35,0,1,1
35,000-A,3,1,0.226,1.101,0,1.958,4.437,0,0,0,0,36,0,132.4,1.300,3,1,1,row:2|pos:4|dim:1|id:36,0,1,1
36,000-A,4,1,0.160,1.414,0,1.964,4.430,0,0,0,0,37,0,120.0,1.620,4,1,1,row:2|pos:5|dim:1|id:37,0,1,1
37,000-A,5,1,0.093,1.727,0,2.197,4.197,0,0,0,0,38,0,131.4,1.940,5,1,1,row:2|pos:6|dim:1|id:38,0,1,1
38,000-A,6,1,0.026,2.040,0,2.477,3.918,0,0,0,0,39,0,148.5,2.260,6,1,1,row:2|pos:7|dim:1|id:39,0,1,1
39,000-A,7,1,-0.040,2.353,0,2.841,3.553,0,0,0,0,40,0,175.1,2.580,7,1,1,row:2|pos:8|dim:1|id:40,0,1,1
40,000-A,8,1,-0.107,2.666,0,3.249,3.146,0,0,0,0,41,0,207.1,2.900,8,1,1,row:2|pos:9|dim:1|id:41,0,1,1
41,000-A,9,1,-0.173,2.979,0,3.512,2.883,0,0,0,0,42,0,225.7,3.220,9,1,1,row:2|pos:10|dim:1|id:42,0,1,1
42,000-A,10,1,-0.240,3.292,0,3.515,2.879,0,0,0,0,43,0,219.4,3.540,10,1,1,row:2|pos:11|dim:1|id:43,0,1,1
43,000-A,11,1,-0.306,3.605,0,3.384,3.010,0,0,0,0,44,0,200.7,3.860,11,1,1,row:2|pos:12|dim:1|id:44,0,1,1
44,000-A,12,1,-0.373,3.918,0,3.150,3.244,0,0,0,0,45,0,172.8,4.180,12,1,1,row:2|pos:13|dim:1|id:45,0,1,1
45,000-A,13,1,-0.439,4.231,0,2.904,3.490,0,0,0,0,46,0,144.7,4.500,13,1,1,row:2|pos:14|dim:1|id:46,0,1,1
46,000-A,14,1,-0.506,4.544,0,2.737,3.658,0,0,0,0,47,0,125.4,4.820,14,1,1,row:2|pos:15|dim:1|id:47,0,1,1
47,000-A,15,1,-0.572,4.857,0,2.579,3.815,0,0,0,0,48,0,108.3,5.140,15,1,1,row:2|pos:16|dim:1|id:48,0,1,1
